generation=307, runtime=1919.62s, best_objective=1455571.107500, note=checkpoint
generation=308, runtime=1926.03s, best_objective=1455571.107500, note=checkpoint
generation=309, runtime=1932.27s, best_objective=1455571.107500, note=checkpoint
generation=310, runtime=1939.04s, best_objective=1455571.107500, note=checkpoint
generation=311, runtime=1945.64s, best_objective=1455571.107500, note=checkpoint
generation=312, runtime=1951.84s, best_objective=1455571.107500, note=checkpoint
generation=313, runtime=1958.32s, best_objective=1455571.107500, note=checkpoint
generation=314, runtime=1964.92s, best_objective=1455571.107500, note=checkpoint
generation=315, runtime=1971.45s, best_objective=1455571.107500, note=checkpoint
generation=316, runtime=1977.62s, best_objective=1455571.107500, note=checkpoint
generation=317, runtime=1983.73s, best_objective=1455571.107500, note=checkpoint
generation=318, runtime=1990.17s, best_objective=1455571.107500, note=checkpoint
generation=319, runtime=1996.38s, best_objective=1455571.107500, note=checkpoint
generation=320, runtime=2002.58s, best_objective=1455571.107500, note=checkpoint
generation=321, runtime=2009.12s, best_objective=1455571.107500, note=checkpoint
generation=322, runtime=2015.12s, best_objective=1455571.107500, note=checkpoint
generation=323, runtime=2021.33s, best_objective=1455571.107500, note=checkpoint
generation=324, runtime=2027.49s, best_objective=1455571.107500, note=checkpoint
generation=325, runtime=2033.82s, best_objective=1455571.107500, note=checkpoint
generation=326, runtime=2040.62s, best_objective=1455571.107500, note=checkpoint
generation=327, runtime=2046.95s, best_objective=1455571.107500, note=checkpoint
generation=328, runtime=2053.28s, best_objective=1455571.107500, note=checkpoint
generation=329, runtime=2059.69s, best_objective=1455571.107500, note=checkpoint
generation=330, runtime=2066.00s, best_objective=1455571.107500, note=checkpoint
generation=331, runtime=2071.89s, best_objective=1455571.107500, note=checkpoint
generation=332, runtime=2078.27s, best_objective=1455571.107500, note=checkpoint
generation=333, runtime=2084.58s, best_objective=1455571.107500, note=checkpoint
generation=334, runtime=2090.61s, best_objective=1455571.107500, note=checkpoint
generation=335, runtime=2097.18s, best_objective=1455571.107500, note=checkpoint
generation=336, runtime=2103.60s, best_objective=1455571.107500, note=checkpoint
generation=337, runtime=2109.85s, best_objective=1455571.107500, note=checkpoint
generation=338, runtime=2116.43s, best_objective=1455571.107500, note=checkpoint
generation=339, runtime=2123.25s, best_objective=1455571.107500, note=checkpoint
generation=340, runtime=2129.51s, best_objective=1455571.107500, note=checkpoint
generation=341, runtime=2135.91s, best_objective=1455571.107500, note=checkpoint
generation=342, runtime=2142.08s, best_objective=1455571.107500, note=checkpoint
generation=343, runtime=2148.54s, best_objective=1455571.107500, note=checkpoint
generation=344, runtime=2154.91s, best_objective=1455571.107500, note=checkpoint
generation=345, runtime=2161.19s, best_objective=1455571.107500, note=checkpoint
generation=346, runtime=2167.39s, best_objective=1455571.107500, note=checkpoint
generation=347, runtime=2173.43s, best_objective=1455571.107500, note=checkpoint
generation=348, runtime=2179.63s, best_objective=1455571.107500, note=checkpoint
generation=349, runtime=2185.77s, best_objective=1455571.107500, note=checkpoint
generation=350, runtime=2191.85s, best_objective=1455571.107500, note=checkpoint
generation=351, runtime=2198.19s, best_objective=1455571.107500, note=checkpoint
generation=352, runtime=2204.35s, best_objective=1455571.107500, note=checkpoint
generation=353, runtime=2210.57s, best_objective=1455571.107500, note=checkpoint
generation=354, runtime=2216.72s, best_objective=1455571.107500, note=checkpoint
generation=355, runtime=2223.06s, best_objective=1455571.107500, note=checkpoint
generation=356, runtime=2229.54s, best_objective=1455571.107500, note=checkpoint
generation=357, runtime=2236.26s, best_objective=1455571.107500, note=checkpoint
generation=358, runtime=2243.50s, best_objective=1455571.107500, note=checkpoint
generation=359, runtime=2251.16s, best_objective=1455571.107500, note=checkpoint
